Rank,Geographic Area,2019
682,"Carson, Nevada","55,916"
683,"Lake Havasu City, Arizona","55,865"
684,"Grand Forks, North Dakota","55,839"
685,"Blue Springs, Missouri","55,829"
686,"Southaven, Mississippi","55,780"
687,"Tinley Park village, Illinois","55,773"
688,"Diamond Bar, California","55,720"
689,"New Brunswick, New Jersey","55,676"
690,"Lenexa, Kansas","55,625"
691,"Brookhaven, Georgia","55,554"
692,"Novato, California","55,516"
693,"Tigard, Oregon","55,514"
694,"Highland, California","55,417"
695,"Fountain Valley, California","55,357"
696,"Dearborn Heights, Michigan","55,353"
697,"Albany, Oregon","55,338"
698,"Grapevine, Texas","55,281"
699,"Apple Valley, Minnesota","55,135"
700,"Chicopee, Massachusetts","55,126"
701,"Hempstead village, New York","55,113"
702,"Oak Lawn village, Illinois","55,022"
703,"Cathedral City, California","55,007"
704,"Bentonville, Arkansas","54,909"
705,"Stonecrest, Georgia","54,903"
706,"Kettering, Ohio","54,855"
707,"Colton, California","54,824"
708,"Anderson, Indiana","54,765"
709,"West Haven, Connecticut","54,620"
710,"Burlington, North Carolina","54,606"
711,"Manhattan, Kansas","54,604"
712,"St. Cloud, Florida","54,579"
713,"Normal town, Illinois","54,469"
714,"Decatur, Alabama","54,445"
715,"Berwyn, Illinois","54,391"
716,"Port Arthur, Texas","54,280"
717,"Kingsport, Tennessee","54,127"
718,"Minnetonka, Minnesota","54,064"
719,"Rosemead, California","54,058"
720,"Paramount, California","53,955"
721,"Rocky Mount, North Carolina","53,922"
722,"Yucaipa, California","53,921"
723,"Watsonville, California","53,856"
724,"Elyria, Ohio","53,757"
725,"Leesburg town, Virginia","53,727"
726,"Mount Prospect village, Illinois","53,719"
727,"Pinellas Park, Florida","53,637"
728,"Delano, California","53,573"
729,"Bellevue, Nebraska","53,544"
730,"West Sacramento, California","53,519"
731,"Apopka, Florida","53,447"
732,"Palm Desert, California","53,275"
733,"Milford city (balance), Connecticut","53,195"
734,"Little Elm, Texas","53,126"
735,"Revere, Massachusetts","53,073"
736,"Peabody, Massachusetts","53,070"
737,"Wylie, Texas","53,067"
738,"Harrisonburg, Virginia","53,016"
739,"DeSoto, Texas","52,988"
740,"Pensacola, Florida","52,975"
741,"Olympia, Washington","52,882"
742,"Edina, Minnesota","52,857"
743,"Wheaton, Illinois","52,745"
744,"West New York town, New Jersey","52,723"
745,"Hoboken, New Jersey","52,677"
746,"Lacey, Washington","52,592"
747,"Summerville town, South Carolina","52,549"
748,"Coeur d'Alene, Idaho","52,414"
749,"Oak Park village, Illinois","52,381"
750,"Elkhart, Indiana","52,358"
751,"Maricopa, Arizona","52,127"
752,"Kentwood, Michigan","51,898"
753,"Madison, Alabama","51,593"
754,"Smyrna town, Tennessee","51,586"
755,"Glendora, California","51,544"
756,"Logan, Utah","51,542"
757,"Burien, Washington","51,500"
758,"Perth Amboy, New Jersey","51,390"
